요양기관명,주소,전화번호,FAX,좌표(X),좌표(Y)
녹십자약국,"경기도 평택시 탄현로 322, (지산동)",031-666-7289,,127.0560556,37.0809773
농민약국,"경기도 평택시 안중읍 안현로 421, (안중읍)",031-684-0445,,126.9313702,36.9875239
뉴그린약국,"경기도 평택시 중앙로 120, (합정동)",031-658-7590,,127.0962979,36.9929187
느티나무약국,"경기도 평택시 원평로25번길 61-1, 301호 (군문동)",031-655-8198,,127.0830081,36.9861893
늘봄약국,"경기도 평택시 오좌동길 9, (독곡동)",031-664-1046,,127.0632981,37.0878547
늘푸른약국,"경기도 평택시 송탄로371번길 14, (지산동)",031-665-0805,,127.0569619,37.0768457
늘푸른약국,"경기도 안성시 대학로 65, (당왕동)",672-2739,,127.2662499,37.0142501
늘푸른온누리약국,"경기도 평택시 지제동삭2로 181-26, Adriamedi Tower 1층 2호 (동삭동)",031-653-8878,,127.09411,37.017183
늘푸른온누리약국,"경기도 오산시 경기대로 155, 108,109,110호 (원동, 신한프라자A)",031-376-4601,,127.0731132,37.1386476
다나약국,"경기도 오산시 오산로 70, (갈곶동)",031-374-2878,,127.069269,37.132941
다나약국,"경기도 평택시 중앙로 148, (합정동)",031-652-8102,,127.0993323,36.9923029
다나약국,"경기도 평택시 지산로 70, 1층 101호 (지산동, 부천프라자)",031-611-8009,,127.0623914,37.0798033
다나약국,"경기도 안성시 아양1로 61, 폴리프라자 1층 110호 (옥산동)",,,127.259358,37.0076238
다사랑온누리약국,"경기도 오산시 발안로 1367, 103호 (누읍동)",070-7724-6865,,127.0478531,37.1422755
다솜약국,"경기도 평택시 중앙로 176, 2층 223호 (합정동, 평택합정 SK VIEW 주상복합)",031-618-9407,,127.102363,36.9915502
다온수약국,"경기도 평택시 용죽3로 18, 다온빌딩 102호 (용이동)",031-8094-1005,,127.1256329,36.9935529
대성약국,"경기도 평택시 안중읍 안중로 124-1, (안중읍)",031-682-5564,,126.9303118,36.9886036
대원약국,"경기도 오산시 오산로 300, (오산동)",031-374-4443,,127.0688435,37.1537549
대학로약국,"경기도 평택시 평택로 282, (세교동)",031-691-9876,,127.073405,37.0083577
더샵온누리약국,"경기도 오산시 내삼미로 83, 센타프라자 107호 (수청동)",031-377-8007,,127.0660073,37.1696464
더조은약국,"경기도 평택시 포승읍 포승산단로13번길 37-23, 1층 103호",,,126.8543626,36.9625817
도담약국,"경기도 평택시 동삭1로22번길 19-15, (동삭동)",031-655-2021,,127.0932929,37.020374
도담약국,"경기도 오산시 세마문학로 50, 상가동 127호 (지곶동, e편한세상)",031-373-5852,,127.0278577,37.1683157
도담온누리약국,"경기도 평택시 고덕국제대로 94, 우성고덕타워2 106호 (고덕동)",,,127.0442027,37.045272
도토리약국,"경기도 평택시 원평로105번길 42, 104호 (통복동)",031-647-0161,,127.0780499,36.993407
동대문약국,"경기도 평택시 중앙로 335, 상가동 1층 101호, 지층 2,3,4호 (비전동, 벽산아파트)",031-652-6921,,127.1197515,36.9919827
동삭센트럴약국,"경기도 평택시 동삭1로22번길 19-21, 동삭프라자 102호 (동삭동)",031-692-0667,,127.0932609,37.0208985
동산약국,"경기도 오산시 내삼미로79번길 11, 206호 (수청동)",031-378-0948,,127.065276,37.1690388
동산약국,"경기도 평택시 팽성읍 팽성로 92, 나동 1층",031-655-2374,,127.0518945,36.9451086
동서약국,"경기도 평택시 통복로 45-1, 1층 (통복동)",031-655-6252,,127.0831144,36.9962101
두레약국,"경기도 오산시 운암로 91, 상가동 103호 (오산동)",031-377-8264,,127.0772713,37.1544824
드림약국,"경기도 평택시 비전5로 3, (비전동)",031-654-2164,,127.111611,36.9999179
뜨란약국,"경기도 평택시 이충로35번길 22, 106호 (이충동, 뜨란프라자)",031-665-9669,,127.0667461,37.0598138
라라약국,"경기도 안성시 공도읍 서동대로 4061, 101호",031-651-0215,,127.1572866,36.9981743
라온약국,"경기도 오산시 수청로 188, (금암동, 롯데슈퍼)",031-377-3603,,127.0457071,37.1773828
로데오약국,"경기도 평택시 평택로 78, 1층 (평택동)",031-658-1323,,127.0850712,36.9939845
마더스약국,"경기도 오산시 경기대로 181, (원동)",031-378-1638,,127.072714,37.140662
마트종로약국,"경기도 평택시 영신로 29, (지제동, 이마트내)",031-651-9631,,127.0755819,37.0210908
만세로약국,"경기도 안성시 원곡면 만세로 1218, (원곡면)",031-655-1855,,127.1476699,37.0412915
맑은미소약국,"경기도 평택시 함박산9길 3, 1층 103호 (고덕동)",031-662-3995,,127.0314485,37.0392485
맑은약국,"경기도 평택시 비전5로 20-26, 로데오1103더테라스 129호 (비전동)",031-652-5335,,127.1146146,36.9988462
메디슨약국,"경기도 오산시 경기대로 174, 106호 (원동, 다모아프라자)",031-378-3004,,127.0737962,37.1402822
메디칼 세계로 약국,"경기도 평택시 중앙로 11, (통복동)",657-8078,,127.0846616,36.9955494
메디칼보룡약국,"경기도 안성시 중앙로 370, 1층 101,102호 (석정동, 하평플리스 )",031-672-1306,,127.2678542,37.0076411
메디컬참약국,"경기도 평택시 안중읍 안현로 300, 안중 매디컬타워 104호",,,126.9253762,36.9777793
메디팜 두리약국,"경기도 안성시 중앙로371번길 13, (석정동)",031-676-3373,,127.2683222,37.0083893
메디팜고운손약국,"경기도 평택시 중앙로 335, 상가동 111,112,208호 (비전동, 벽산아파트)",031-657-7585,,127.1197515,36.9919827
메디팜신광약국,"경기도 평택시 탄현로 321-1, (신장동)",031-666-2238,,127.055607,37.0811708
명문약국,"경기도 오산시 궐리사로 37, (궐동)",031-378-1646,,127.0566888,37.1603723
명성약국,"경기도 평택시 관광특구로 19, 3층 307호 (서정동)",031-611-2732,,127.0609138,37.0672656
명약국,"경기도 오산시 대원로 3, (오산동)",031-378-6669,,127.0688496,37.1465956
명약국,"경기도 평택시 비전5로 11, 4층 403호 (비전동)",031-691-3171,,127.1126122,37.0001234
모닝약국,"경기도 평택시 소사2길 4, 1층 (소사동)",031-652-3339,,127.1214909,36.9899128
모범약국,"경기도 오산시 성호대로 121, 305호 (오산동, 월드타워)",031-373-7963,,127.0748375,37.1490571
모산골약국,"경기도 평택시 지제동삭2로 181-24, 1층 107호 (동삭동)",031-651-5029,,127.0938348,37.0168778
미루나무 약국,"경기도 평택시 통복로37번길 5, (통복동)",031-8094-2077,,127.0828136,36.9953403
미소약국,"경기도 오산시 대원로 34, (원동)",031-375-4798,,127.0722141,37.1461261
미소약국,"경기도 안성시 죽산면 죽주로 271, (죽산면)",676-0711,,127.4251495,37.0759018
미소약국,"경기도 평택시 평택2로 6, (평택동)",031-657-2654,,127.0875488,36.9921415
미소짓는약국,"경기도 평택시 동삭로 384, 동화메디컬 1층 (동삭동)",031-692-2505,,127.0968218,37.0201866
미양성심약국,"경기도 안성시 미양면 안성맞춤대로 409, (미양면)",031-677-6174,,127.2443354,36.9585264
민들레약국,"경기도 평택시 포승읍 여술2길 22, (포승읍)",031-681-5177,,126.8456044,36.9874816
민중약국,"경기도 평택시 평택로 102, (통복동)",031-655-2870,,127.0834957,36.995878
믿음약국,"경기도 오산시 경기대로 154, 패션폴라리스 119호 (원동)",,,127.0738662,37.1384985
바다약국,"경기도 안성시 중앙로 358, 1층 (석정동)",031-671-0131,,127.2664684,37.0080068
바다약국,"경기도 평택시 평택로 41, (평택동)",031-655-9032,,127.087098,36.9911233
바로E약국,"경기도 평택시 탄현로371번길 55, 102, 103호 (신장동)",,,127.0598299,37.0872955
바른손약국,"경기도 안성시 금산길 10, (연지동)",031-675-7582,,127.2708878,37.0114209
바른손약국,"경기도 평택시 팽성읍 안정쇼핑로 42, (팽성읍)",031-691-1228,,127.0468138,36.9613202
바른약국,"경기도 평택시 평택2로20번길 14, 1층 (평택동)",031-653-2002,,127.0890029,36.9924728
바른약국,"경기도 오산시 오산로 224-1, (오산동)",031-377-8522,,127.0686952,37.1469335
바른약국,"경기도 안성시 공도읍 진건중길 13, 1층",031-651-5505,,127.1424575,36.9942535
바른정약국,"경기도 평택시 중앙로 29, (통복동)",031-655-5107,,127.0863966,36.9953196
백제당약국,"경기도 평택시 안중읍 안현로서6길 10, 101호 (대원빌딩)",031-682-2115,,126.9281158,36.9837737
백화점약국,"경기도 평택시 안중읍 안현로서2길 14, (안중읍)",031-682-1717,,126.9302699,36.9883403
벚꽃약국,"경기도 오산시 궐리사로 41, 보성학원 1층 (궐동)",031-377-9775,,127.0572393,37.1602511
베스트약국,"경기도 오산시 발안로 1356-3, (누읍동)",031-377-1812,,127.0476608,37.1410774
별빛약국,"경기도 평택시 지제동삭1로 41, 130동 2층 33호 (지제동, 지제역 더샵 센트럴시티)",031-616-4412,,127.0727276,37.0209548
별약국,"경기도 평택시 고덕국제5로 145, 106호 (고덕동)",031-647-0745,,127.0257893,37.0344178
보개약국,"경기도 안성시 보개면 보개원삼로 257, (보개면)",031-675-7178,,127.2883685,37.0262628
보건약국,"경기도 평택시 탄현로 287, (신장동, (신장동 227))",031-666-3948,,127.0550211,37.0781404
보광온누리약국,"경기도 오산시 오산로 209, (오산동)",031-373-1729,,127.0681826,37.1454049
보름달약국,"경기도 오산시 경기대로 178, 비전탑 1동 305호 (원동)",031-372-7566,,127.073913,37.140645
봄날약국,"경기도 평택시 영신2길 87, 영신빌딩 104호 (세교동)",,,127.0827592,37.0201637
봄날약국,"경기도 오산시 궐리사로 34, 백충빌딩 102호 (궐동)",031-378-5206,,127.05624,37.1600667
봄봄약국,"경기도 평택시 비전5로 20-18, 가로수빌딩 105호 (비전동)",031-618-3927,,127.1135773,36.9988773
봄봄온누리약국,"경기도 평택시 중앙로 96, 101, 102호 (합정동)",031-654-1377,,127.0937097,36.9934259
봄빛약국,"경기도 오산시 수청로 193, 302호 (금암동, P&P세교프라자 )",031-372-3666,,127.0455185,37.1766517
봄빛약국,"경기도 평택시 소사5길 24, 202호 (소사동)",031-651-0524,,127.1269742,36.9905311
봄약국,"경기도 안성시 중앙로 388, (서인동)",671-0799,,127.2699228,37.0072996
봄약국,"경기도 평택시 안중읍 안현로서8길 57, 붐붐프라자 3층 305호",,,126.9194166,36.9790824
부영약국,"경기도 평택시 세교공원로 66, 101호 (세교동, 부영아파트상가1동)",031-651-3083,,127.0852822,37.0035948
비전미소약국,"경기도 평택시 비전5로 37, 102호 (비전동)",031-651-9166,,127.1147039,37.0016056
비전상상약국,"경기도 평택시 비전4로 142, 110-111호 (비전동)",031-8094-1485,,127.107209,37.008783
비전약국,"경기도 평택시 평남로 937, (비전동, 폴리프라자)",031-653-1774,,127.104453,37.0043914
비전중앙약국,"경기도 평택시 비전5로 16, 프라우빌딩 1층 111-나호 (비전동)",031-657-7888,,127.1132563,36.999843
비전하늘약국,"경기도 평택시 평남로 941, (비전동, 우성메디피아)",031-655-2481,,127.1041729,37.0046213
비타민약국,"경기도 평택시 평택2로20번길 31, (평택동)",031-657-7602,,127.089913,36.9919406
사랑드림약국,"경기도 오산시 경기대로 153, 신한프라자B 111호 (원동)",031-8055-8324,,127.0731103,37.1383191
사랑약국,"경기도 오산시 오산로 79, 106호 (갈곶동)",031-375-6535,,127.0688353,37.133978
사랑약국,"경기도 평택시 추담로 58-78, 상가2동 104호 (장안동, 평택장안마을코오롱하늘채)",031-667-3668,,127.0790469,37.0590566
사랑약국,"경기도 안성시 중앙로 378, (서인동)",031-674-9920,,127.2687647,37.0075611
사랑의약국,"경기도 평택시 용죽2로 32-44, 리더스타워 102호 (용이동)",031-653-2948,,127.1255199,36.9924366
산들약국,"경기도 평택시 안중읍 안중로 141, 102호",,,126.9320453,36.9891289
삼동약국,"경기도 평택시 삼성로 90, 사무2동 1층 (고덕동)",031-6192-0310,,127.0553789,37.0337505
삼보약국,"경기도 평택시 진위면 진위서로 2, 1층 102호",031-662-8875,,127.0639218,37.1092492
삼성메디컬약국,"경기도 평택시 고덕갈평6길 29, 109,110호 (고덕동)",031-665-6463,,127.0474399,37.0573027
삼성약국,"경기도 오산시 북삼미로 183-6, 1층 (외삼미동)",031-8077-2348,,127.0610862,37.1920879
삼성약국,"경기도 평택시 중앙로 335, 1,2층 103,104,203호 (비전동, 벽산아파트)",657-0311,,127.1197515,36.9919827
삼성약국,"경기도 안성시 삼죽면 삼백로 8, 8",674-8856,,127.3757002,37.0748088
삼성약국,"경기도 평택시 관광특구로 37, (서정동)",031-664-5553,,127.0630281,37.0670743
삼성중앙약국,"경기도 안성시 원곡면 만세로 1069, (원곡면)",031-691-6174,,127.1599151,37.0497304
상록수 약국,"경기도 평택시 서정역로 42, (서정동)",031-665-6119,,127.0557849,37.0579367
새봄약국,"경기도 오산시 수목원로 606, 오산세교CL타워 125호 (세교동)",031-377-1514,,127.0422336,37.185912
새봄약국,"경기도 평택시 서정역로26번길 7-10, (이충동)",031-664-8978,,127.0563534,37.0567321
새서울약국,"경기도 평택시 평택2로20번길 15, (평택동)",031-618-2533,,127.0894196,36.9926299
새시장약국,"경기도 평택시 지산로 60, (지산동)",031-665-3921,,127.0616764,37.0796075
새안성약국,"경기도 안성시 시장길 58, 희망빌딩 1층 101호 (서인동)",674-7585,,127.2709213,37.0062179
새은하약국,"경기도 안성시 고수2로 45, (당왕동)",031-673-1237,,127.2588428,37.0171305
새희망약국,"경기도 평택시 서정역로26번길 3, 대성빌딩 1층 (서정동)",031-667-0955,,127.0559312,37.056473
서울무지개약국,"경기도 오산시 경기대로 209, (원동)",031-378-7937,,127.0731005,37.1434245
서울약국,"경기도 평택시 안중읍 안중로 133, (안중읍)",031-681-6006,,126.9313608,36.9889927
서울약국,"경기도 안성시 안성맞춤대로 1052, 우측호 (서인동)",031-675-2236,,127.2696818,37.007294
서인약국,"경기도 안성시 시장길 58, 안성성모병원 (서인동)",031-676-2022,,127.2709213,37.0062179
서재중앙약국,"경기도 평택시 서재로 2, 101호 (동삭동, 한주빌딩)",031-652-9982,,127.0988015,37.0098798
서정굿모닝약국,"경기도 평택시 서정역로36번길 10, (서정동)",031-611-7572,,127.056471,37.0573869
서정리오렌지약국,"경기도 평택시 탄현로 48, 1층 2호 (서정동)",031-611-7539,,127.0538737,37.0568394
서정부부약국,"경기도 평택시 서정역로 48, 1층 (서정동)",031-668-2541,,127.0553465,37.0583053
서정약국,"경기도 평택시 고덕로3길 27, 1층 107호 (고덕동)",,,127.0263345,37.0381535
서정온누리약국,"경기도 평택시 탄현로 58, 103호 (서정동)",031-611-6538,,127.0539603,37.0576314
서평택약국,"경기도 평택시 포승읍 포승향남로 148, 148",031-684-9964,,126.866432,36.9876686
성림약국,"경기도 안성시 일죽면 금일로 465-8, (일죽면)",031-672-5328,,127.4781401,37.0933894
성모약국,"경기도 안성시 중앙로400번길 34, 1층 (서인동)",031-675-9200,,127.2709844,37.0057852
성모약국,"경기도 평택시 경기대로 269, (비전동, 103호)",031-618-3020,,127.1129861,36.9947285
성신약국,"경기도 평택시 신장로 28, (신장동)",031-666-3158,,127.0517691,37.0793633
성심약국,"경기도 평택시 중앙2로 1, (평택동)",031-656-5096,,127.0872333,36.9919884
성심온누리약국,"경기도 오산시 성호대로 78, 1층 (오산동, 성심약국)",031-373-2906,,127.0699317,37.1487558
성은백세약국,"경기도 안성시 원곡면 지문로 525, (원곡면)",031-654-0403,,127.1570842,37.0736161
세계로약국,"경기도 평택시 고덕여염7길 21, (고덕동)",,,127.04738,37.0382884
세계로약국,"경기도 안성시 죽산면 죽주로 283, 106호 (훼밀리타운)",676-9688,,127.4263721,37.0763698
세교 봄약국,"경기도 평택시 세교7길 52, SJ빌딩 1층 102호 (세교동)",031-691-0911,,127.0894784,37.0064669
세교까치약국,"경기도 오산시 고을1길 36, 103호 (누읍동)",031-376-0711,,127.0545831,37.1443523
세교마루약국,"경기도 오산시 죽담3로 6, 제1동 107호 (궐동)",031-378-5368,,127.0504457,37.1636863
세교바른약국,"경기도 오산시 오산대역로 214, 1층 108호 (수청동)",031-373-0844,,127.0655846,37.1708567
세교약국,"경기도 평택시 세교7길 30, 101호 (세교동)",031-618-5572,,127.088213,37.0043551
세교엘약국,"경기도 오산시 내삼미로79번길 19, 102,103호 (수청동)",031-376-8997,,127.0643748,37.1694653
세교오약국,"경기도 오산시 초평중앙로 127-4, 104호 (가수동)",031-374-2905,,127.0476779,37.1437971
세교온누리약국,"경기도 오산시 수청로 189, 106,107호 (금암동, 웅신아트프라자)",031-377-4862,,127.0459084,37.1768205
세교중앙약국,"경기도 오산시 수목원로 458, (금암동)",031-376-8570,,127.0505166,37.1747417
세림약국,"경기도 평택시 송탄로 272, (서정동)",031-611-6141,,127.0591921,37.0679808
세마약국,"경기도 오산시 수목원로 618, 1층 106호 (세교동)",031-376-3494,,127.0413891,37.1867804
세명약국,"경기도 안성시 중앙로 312, (석정동)",031-672-7900,,127.2623222,37.0102862
세명약국,"경기도 평택시 서탄면 발안로 1226, 1226",031-376-9797,,127.0359168,37.1361977
세민약국,"경기도 평택시 탄현로 335, 1층 (신장동)",031-611-7378,,127.0563204,37.0821549
센느약국,"경기도 오산시 수목원로 466, 1층 104호 (금암동)",031-376-4569,,127.0499884,37.1752733
센타약국,"경기도 평택시 이충로35번길 20-9, 이충센타프라자 (이충동)",031-667-5075,,127.0664844,37.0603587
센타약국,"경기도 오산시 성호대로 122, (원동, 메디칼프라자)",031-372-5131,,127.0748084,37.1485109
소라약국,"경기도 평택시 탄현로 340, (지산동)",031-611-7104,,127.0570897,37.0823031
소명약국,"경기도 오산시 한신대길 117, 소명빌딩 (양산동)",378-5999,,127.0234225,37.1964025
소사벌온누리약국,"경기도 평택시 비전4로 47, (비전동)",031-692-1236,,127.1145754,37.0024639
솔약국,"경기도 오산시 동부대로 355, 1층 (고현동)",031-378-7582,,127.0778859,37.1337775
솔약국,"경기도 평택시 비전3로 25, 골든프라자 102호 (비전동)",031-618-9588,,127.1047915,37.0024282
솔약국,"경기도 안성시 양성면 명삼길 6, 가동",031-523-9420,,127.1899363,37.040903
송북약국,"경기도 평택시 탄현로 334, 1층 (지산동)",,,127.0565304,37.0818636
송탄드림약국,"경기도 평택시 지산로 64, 1층 (지산동)",031-667-8486,,127.0620647,37.0797134
송탄메디칼약국,"경기도 평택시 탄현로327번길 8, 1층 (신장동)",,,127.0555174,37.0815581
송탄시장약국,"경기도 평택시 서정역로 22, (서정동)",031-667-0634,,127.0558206,37.0560657
송탄온누리약국,"경기도 평택시  서정북로 71, (서정동)",031-662-1102,,127.0574226,37.0708313
송탄우리약국,"경기도 평택시 경기대로 1365, 1층 (서정동, 한양빌딩)",031-662-8157,,127.0636646,37.0670039
송탄종합약국,"경기도 평택시 탄현로 330, (지산동)",031-662-3690,,127.0563693,37.0815832
송탄하늘약국,"경기도 평택시 송탄로 410, 1층 (지산동)",031-666-5873,,127.0580869,37.0801474
송탄효자약국,"경기도 평택시 탄현로 317, (신장동)",031-666-5449,,127.0552674,37.0807577
수약국,"경기도 평택시 탄현로327번길 6, (신장동)",031-668-0292,,127.0556849,37.0816034
수약국,"경기도 평택시 안중읍 안현로서8길 23, 1층 (동흥빌딩)",031-684-8181,,126.9227679,36.9790704
수온누리약국,"경기도 안성시 공도읍 공도4로 3, 105호 (우성메디컬)",031-652-0360,,127.1720768,37.0004876
수정약국,"경기도 평택시 팽성읍 안정쇼핑로 36, (팽성읍)",031-691-8168,,127.0462571,36.9608523
수호온누리약국,"경기도 평택시 중앙2로 16, 104호 (평택동)",031-618-5440,,127.0886221,36.9914681
스마일약국,"경기도 오산시 독산성로362번길 6-13, 201호 (세교동)",031-248-6742,,127.0356445,37.1836461
스마일약국,"경기도 평택시 송탄로 33, (장당동, 굿스파인병원)",031-611-3102,,127.0570008,37.0482657
스타약국,"경기도 평택시 관광특구로 41, 1층 (서정동)",031-663-6558,,127.0634225,37.0670089
스타약국,"경기도 평택시 포승읍 여술로 20, 평택스타타워 107,108호",031-684-2024,,126.8447486,36.9877168
슬기로운약국,"경기도 평택시 고덕갈평5길 32, 그랜드메디컬타워 1층 110,111호 (고덕동)",031-8676-0761,,127.0474102,37.0565574
슬림라이프약국,"경기도 평택시 모산영신1길 45, 1층 (동삭동)",031-655-5956,,127.088876,37.0199577
시네마약국,"경기도 평택시 관광특구로 19, 1층 (서정동)",031-663-0349,,127.0609138,37.0672656
시드니약국,"경기도 평택시 탄현1로 160, 102호 (신장동)",031-611-1666,,127.0538997,37.0741818
시민약국,"경기도 평택시 중앙1로56번길 22-10, (비전동)",031-652-8422,,127.0882828,36.9967454
시범약국,"경기도 오산시 오산로 214, (원동, 시범약국)",031-373-3443,,127.0686558,37.1459635
시온약국,"경기도 오산시 청학로173번길 18, (수청동)",031-375-4715,,127.0620078,37.164166
시장약국,"경기도 오산시 성호새싹길 33, (오산동)",031-373-7780,,127.0701128,37.1519349
시장약국,"경기도 평택시 통복로 43, 1층 (통복동)",031-655-4500,,127.0830402,36.9959954
시티약국,"경기도 오산시 부산중앙로 25-6, 106,107호 (부산동)",031-375-0289,,127.0907427,37.1509103
신성약국,"경기도 평택시 탄현로 329, (신장동)",031-665-1177,,127.056013,37.0817101
